,工件号,工序号,机器编号,起始时间,结束时间,加工时间,等待时间,运输时间
0,0.0,1.0,4.0,0.0,0.0,75.0,0.0,25.0
3,1.0,1.0,6.0,0.0,0.0,71.0,0.0,20.0
6,2.0,1.0,15.0,0.0,64.0,64.0,0.0,15.0
8,3.0,1.0,20.0,0.0,36.0,36.0,0.0,20.0
10,4.0,1.0,1.0,0.0,0.0,80.0,0.0,10.0
21,8.0,1.0,0.0,0.0,0.0,103.0,0.0,10.0
23,9.0,1.0,5.0,0.0,0.0,80.0,0.0,10.0
25,10.0,1.0,26.0,0.0,0.0,103.0,0.0,5.0
28,11.0,1.0,25.0,0.0,0.0,98.0,0.0,10.0
31,12.0,1.0,3.0,0.0,0.0,55.0,0.0,20.0
34,13.0,1.0,9.0,0.0,0.0,62.0,0.0,10.0
